date,SX5T Index
2002-05-13,4526.72
2002-05-14,4611.76
2002-05-15,4637.7
2002-05-16,4616.15
2002-05-17,4595.25
2002-05-20,4553.18
2002-05-21,4545.28
2002-05-22,4475.6
2002-05-23,4488.54
2002-05-24,4501.29
2002-05-27,4532.2
2002-05-28,4495.26
2002-05-29,4486.37
2002-05-30,4390.56
2002-05-31,4441.05
2002-06-03,4385.5
2002-06-04,4228.82
2002-06-05,4238.9
2002-06-06,4251.56
2002-06-07,4165.68
2002-06-10,4159.01
2002-06-11,4236.74
2002-06-12,4122.15
2002-06-13,4077.61
2002-06-14,3963.8
2002-06-17,4143.53
2002-06-18,4137.37
2002-06-19,4051.85
2002-06-20,3967.6
2002-06-21,3940.16
2002-06-24,3806.57
2002-06-25,3909.98
2002-06-26,3833.01
2002-06-27,3902.77
2002-06-28,4072.58
2002-07-01,4072.97
2002-07-02,3900.98
2002-07-03,3809.64
2002-07-04,3920.01
2002-07-05,4117.29
2002-07-08,4104.82
2002-07-09,4049.95
2002-07-10,3881.18
2002-07-11,3751.67
2002-07-12,3754.78
2002-07-15,3524.41
2002-07-16,3530.27
2002-07-17,3668.04
2002-07-18,3708.03
2002-07-19,3506.8
2002-07-22,3310.98
2002-07-23,3198.59
2002-07-24,3172.24
2002-07-25,3272.28
2002-07-26,3300.55
2002-07-29,3542.63
2002-07-30,3502.18
2002-07-31,3494.21
2002-08-01,3328.56
2002-08-02,3317.66
2002-08-05,3187.68
2002-08-06,3376.44
2002-08-07,3340.66
2002-08-08,3514.42
2002-08-09,3583.42
2002-08-12,3480.65
2002-08-13,3517.41
2002-08-14,3376.35
2002-08-15,3489.71
2002-08-16,3536.92
2002-08-19,3682.14
2002-08-20,3611.78
2002-08-21,3652.89
2002-08-22,3742.9
2002-08-23,3676.47
2002-08-26,3613.09
2002-08-27,3733.59
2002-08-28,3559.3
2002-08-29,3477.47
2002-08-30,3532.81
2002-09-02,3441.39
2002-09-03,3272.24
2002-09-04,3304.25
2002-09-05,3274.94
2002-09-06,3414.01
2002-09-09,3344.42
2002-09-10,3442.24
2002-09-11,3550.87
2002-09-12,3377.5
2002-09-13,3300.06
2002-09-16,3281.17
2002-09-17,3251.32
2002-09-18,3106.95
2002-09-19,3036.0
2002-09-20,3009.58
2002-09-23,2891.51
2002-09-24,2852.05
2002-09-25,2918.41
2002-09-26,3094.35
2002-09-27,3055.47
2002-09-30,2874.45
2002-10-01,2955.5
2002-10-02,3079.61
2002-10-03,3005.87
2002-10-04,2900.98
2002-10-07,2878.66
2002-10-08,2830.3
2002-10-09,2803.86
2002-10-10,2914.52
2002-10-11,3067.37
2002-10-14,3023.93
2002-10-15,3241.25
2002-10-16,3188.72
2002-10-17,3308.18
2002-10-18,3296.35
2002-10-21,3325.65
2002-10-22,3270.43
2002-10-23,3129.92
2002-10-24,3221.03
2002-10-25,3204.45
2002-10-28,3271.74
2002-10-29,3108.7
2002-10-30,3219.96
2002-10-31,3286.07
2002-11-01,3245.2
2002-11-04,3382.86
2002-11-05,3411.02
2002-11-06,3364.33
2002-11-07,3243.58
2002-11-08,3197.39
2002-11-11,3176.92
2002-11-12,3202.42
2002-11-13,3178.16
2002-11-14,3295.67
2002-11-15,3308.7
2002-11-18,3356.89
2002-11-19,3327.95
2002-11-20,3320.0
2002-11-21,3450.12
2002-11-22,3455.38
2002-11-25,3442.3
2002-11-26,3346.23
2002-11-27,3464.04
2002-11-28,3483.77
2002-11-29,3466.76
2002-12-02,3474.11
2002-12-03,3373.64
2002-12-04,3362.66
2002-12-05,3297.65
2002-12-06,3303.5
2002-12-09,3208.7
2002-12-10,3245.14
2002-12-11,3282.2
2002-12-12,3224.83
2002-12-13,3170.08
2002-12-16,3293.03
2002-12-17,3251.97
2002-12-18,3169.32
2002-12-19,3141.6
2002-12-20,3184.55
2002-12-23,3207.43
2002-12-24,3205.39
2002-12-27,3087.96
2002-12-30,3115.92
2002-12-31,3131.9
2003-01-02,3293.89
2003-01-03,3267.71
2003-01-06,3303.85
2003-01-07,3271.26
2003-01-08,3199.27
2003-01-09,3254.63
2003-01-10,3251.16
2003-01-13,3262.4
2003-01-14,3277.83
2003-01-15,3239.02
2003-01-16,3232.7
2003-01-17,3122.3
2003-01-20,3073.26
2003-01-21,3039.45
2003-01-22,2976.15
2003-01-23,2964.16
2003-01-24,2920.87
2003-01-27,2816.26
2003-01-28,2823.15
2003-01-29,2861.35
2003-01-30,2925.62
2003-01-31,2938.67
2003-02-03,2968.98
2003-02-04,2856.06
2003-02-05,2909.77
2003-02-06,2837.12
2003-02-07,2789.69
2003-02-10,2779.42
2003-02-11,2863.8
2003-02-12,2793.61
2003-02-13,2776.76
2003-02-14,2876.46
2003-02-17,2929.2
2003-02-18,2982.18
2003-02-19,2887.2
2003-02-20,2842.21
2003-02-21,2887.29
2003-02-24,2824.97
2003-02-25,2721.3
2003-02-26,2692.11
2003-02-27,2751.51
2003-02-28,2799.01
2003-03-03,2801.18
2003-03-04,2736.65
2003-03-05,2720.39
2003-03-06,2671.69
2003-03-07,2605.13
2003-03-10,2531.84
2003-03-11,2529.16
2003-03-12,2418.41
2003-03-13,2582.22
2003-03-14,2719.22
2003-03-17,2821.59
2003-03-18,2816.18
2003-03-19,2859.72
2003-03-20,2820.13
2003-03-21,2940.72
2003-03-24,2778.15
2003-03-25,2856.87
2003-03-26,2840.73
2003-03-27,2788.26
2003-03-28,2791.21
2003-03-31,2666.53
2003-04-01,2706.28
2003-04-02,2828.03
2003-04-03,2857.81
2003-04-04,2910.43
2003-04-07,3030.05
2003-04-08,2987.76
2003-04-09,2984.2
2003-04-10,2912.52
2003-04-11,2945.38
2003-04-14,2980.09
2003-04-15,3037.44
2003-04-16,3007.6
2003-04-17,3048.52
2003-04-22,3075.06
2003-04-23,3104.42
2003-04-24,3038.01
2003-04-25,2987.4
2003-04-28,3083.56
2003-04-29,3054.95
2003-04-30,3058.43
2003-05-01,3058.43
2003-05-02,3060.88
2003-05-05,3100.09
2003-05-06,3150.87
2003-05-07,3110.44
2003-05-08,3018.21
2003-05-09,3055.0
2003-05-12,3060.15
2003-05-13,3053.41
2003-05-14,3049.49
2003-05-15,3094.49
2003-05-16,3107.82
2003-05-19,2976.65
2003-05-20,2978.01
2003-05-21,2952.67
2003-05-22,2995.77
2003-05-23,2975.38
2003-05-26,2969.53
2003-05-27,2992.71
2003-05-28,3059.19
2003-05-29,3063.23
2003-05-30,3088.72
2003-06-02,3155.46
2003-06-03,3138.11
2003-06-04,3175.89
2003-06-05,3137.38
2003-06-06,3211.86
2003-06-09,3167.6
2003-06-10,3196.79
2003-06-11,3253.96
2003-06-12,3292.85
2003-06-13,3240.27
2003-06-16,3309.26
2003-06-17,3327.46
2003-06-18,3355.95
2003-06-19,3308.87
2003-06-20,3339.87
2003-06-23,3260.71
2003-06-24,3255.66
2003-06-25,3264.92
2003-06-26,3263.76
2003-06-27,3264.6
2003-06-30,3219.38
2003-07-01,3150.22
2003-07-02,3221.42
2003-07-03,3224.82
2003-07-04,3206.89
2003-07-07,3310.53
2003-07-08,3319.49
2003-07-09,3294.04
2003-07-10,3252.45
2003-07-11,3300.16
2003-07-14,3353.65
2003-07-15,3334.65
2003-07-16,3314.18
2003-07-17,3263.21
2003-07-18,3275.46
2003-07-21,3223.36
2003-07-22,3246.1
2003-07-23,3235.69
2003-07-24,3304.7
2003-07-25,3256.2
2003-07-28,3315.71
2003-07-29,3293.91
2003-07-30,3311.89
2003-07-31,3359.75
2003-08-01,3307.13
2003-08-04,3275.9
2003-08-05,3309.9
2003-08-06,3250.69
2003-08-07,3248.93
2003-08-08,3282.42
2003-08-11,3308.21
2003-08-12,3331.59
2003-08-13,3333.14
2003-08-14,3394.93
2003-08-15,3401.35
2003-08-18,3436.62
2003-08-19,3443.55
2003-08-20,3421.47
2003-08-21,3449.86
2003-08-22,3462.73
2003-08-25,3424.66
2003-08-26,3387.41
2003-08-27,3418.95
2003-08-28,3439.29
2003-08-29,3413.54
2003-09-01,3472.54
2003-09-02,3471.07
2003-09-03,3526.81
2003-09-04,3523.14
2003-09-05,3491.12
2003-09-08,3518.86
2003-09-09,3476.79
2003-09-10,3425.3
2003-09-11,3434.94
2003-09-12,3400.29
2003-09-15,3412.11
2003-09-16,3451.69
2003-09-17,3453.73
2003-09-18,3482.79
2003-09-19,3447.93
2003-09-22,3356.66
2003-09-23,3328.52
2003-09-24,3307.57
2003-09-25,3291.27
2003-09-26,3268.29
2003-09-29,3257.87
2003-09-30,3198.8
2003-10-01,3256.72
2003-10-02,3250.54
2003-10-03,3359.83
2003-10-06,3333.95
2003-10-07,3306.6
2003-10-08,3302.96
2003-10-09,3379.72
2003-10-10,3363.1
2003-10-13,3423.14
2003-10-14,3408.42
2003-10-15,3435.37
2003-10-16,3417.18
2003-10-17,3407.86
2003-10-20,3409.67
2003-10-21,3420.3
2003-10-22,3353.28
2003-10-23,3325.36
2003-10-24,3316.66
2003-10-27,3356.42
2003-10-28,3397.0
2003-10-29,3414.98
2003-10-30,3436.19
2003-10-31,3440.9
2003-11-03,3517.41
2003-11-04,3511.62
2003-11-05,3488.34
2003-11-06,3510.76
2003-11-07,3552.09
2003-11-10,3519.3
2003-11-11,3500.36
2003-11-12,3511.39
2003-11-13,3524.26
2003-11-14,3551.21
2003-11-17,3456.47
2003-11-18,3453.78
2003-11-19,3441.23
2003-11-20,3433.29
2003-11-21,3446.02
2003-11-24,3518.21
2003-11-25,3508.93
2003-11-26,3501.25
2003-11-27,3523.07
2003-11-28,3515.84
2003-12-01,3574.84
2003-12-02,3564.61
2003-12-03,3600.76
2003-12-04,3600.14
2003-12-05,3571.52
2003-12-08,3543.97
2003-12-09,3572.32
2003-12-10,3556.43
2003-12-11,3588.48
2003-12-12,3589.39
2003-12-15,3607.27
2003-12-16,3605.09
2003-12-17,3598.57
2003-12-18,3628.61
2003-12-19,3642.68
2003-12-22,3627.76
2003-12-23,3637.75
2003-12-24,3642.43
2003-12-29,3668.0
2003-12-30,3675.87
2003-12-31,3690.0
2004-01-02,3740.41
2004-01-05,3754.47
2004-01-06,3751.57
2004-01-07,3720.3
2004-01-08,3772.2
2004-01-09,3743.89
2004-01-12,3736.15
2004-01-13,3746.96
2004-01-14,3783.7
2004-01-15,3799.33
2004-01-16,3832.98
2004-01-19,3851.67
2004-01-20,3824.45
2004-01-21,3843.54
2004-01-22,3867.58
2004-01-23,3870.48
2004-01-26,3846.29
2004-01-27,3859.39
2004-01-28,3876.16
2004-01-29,3827.05
2004-01-30,3799.02
2004-02-02,3819.62
2004-02-03,3802.71
2004-02-04,3774.14
2004-02-05,3769.35
2004-02-06,3792.49
2004-02-09,3842.48
2004-02-10,3855.81
2004-02-11,3869.01
2004-02-12,3876.31
2004-02-13,3828.96
2004-02-16,3851.06
2004-02-17,3875.14
2004-02-18,3878.1
2004-02-19,3925.42
2004-02-20,3887.16
2004-02-23,3891.3
2004-02-24,3835.87
2004-02-25,3844.48
2004-02-26,3859.3
2004-02-27,3872.2
2004-03-01,3906.16
2004-03-02,3943.71
2004-03-03,3917.18
2004-03-04,3951.74
2004-03-05,3942.39
2004-03-08,3961.24
2004-03-09,3912.17
2004-03-10,3911.67
2004-03-11,3793.01
2004-03-12,3793.03
2004-03-15,3688.77
2004-03-16,3711.59
2004-03-17,3776.66
2004-03-18,3696.17
2004-03-19,3707.14
2004-03-22,3629.85
2004-03-23,3631.96
2004-03-24,3616.39
2004-03-25,3683.82
2004-03-26,3702.66
2004-03-29,3748.12
2004-03-30,3739.95
2004-03-31,3734.47
2004-04-01,3777.62
2004-04-02,3865.22
2004-04-05,3893.07
2004-04-06,3838.35
2004-04-07,3820.66
2004-04-08,3832.78
2004-04-13,3875.21
2004-04-14,3830.55
2004-04-15,3827.76
2004-04-16,3845.5
2004-04-19,3835.16
2004-04-20,3861.4
2004-04-21,3830.1
2004-04-22,3859.86
2004-04-23,3882.52
2004-04-26,3876.42
2004-04-27,3874.76
2004-04-28,3810.09
2004-04-29,3773.91
2004-04-30,3751.0
2004-05-03,3782.15
2004-05-04,3773.05
2004-05-05,3805.65
2004-05-06,3729.02
2004-05-07,3717.04
2004-05-10,3620.11
2004-05-11,3669.44
2004-05-12,3614.18
2004-05-13,3657.88
2004-05-14,3638.08
2004-05-17,3590.73
2004-05-18,3615.08
2004-05-19,3688.03
2004-05-20,3659.68
2004-05-21,3644.7
2004-05-24,3682.86
2004-05-25,3660.21
2004-05-26,3701.24
2004-05-27,3732.11
2004-05-28,3713.78
2004-05-31,3731.13
2004-06-01,3682.6
2004-06-02,3705.49
