date,SX5T Index,macd_12_26
2000-11-07,6415.88,121.75076923076813
2000-11-08,6388.39,134.9047435897428
2000-11-09,6341.18,130.70660256410247
2000-11-10,6236.01,129.30858974358853
2000-11-13,6126.05,126.42724358974374
2000-11-14,6332.87,123.12429487179361
2000-11-15,6386.4,121.7262820512824
2000-11-16,6332.28,103.81391025641005
2000-11-17,6270.22,80.38025641025615
2000-11-20,6128.41,51.52461538461557
2000-11-21,6184.8,24.781346153845334
2000-11-22,6045.03,-8.780256410256698
2000-11-23,6113.44,-42.71051282051303
2000-11-24,6244.09,-59.83705128205111
2000-11-27,6250.56,-70.1806410256404
2000-11-28,6184.99,-73.86769230769187
2000-11-29,6202.87,-61.54602564102606
2000-11-30,6054.33,-75.74653846153888
2000-12-01,6116.64,-94.0765384615388
2000-12-04,5984.49,-111.90365384615507
2000-12-05,6208.47,-113.75794871794824
2000-12-06,6154.83,-102.47858974358951
2000-12-07,6194.15,-92.77250000000095
2000-12-08,6180.41,-71.68775641025695
2000-12-11,6282.71,-51.28730769230697
2000-12-12,6253.71,-43.54602564102515
2000-12-13,6180.97,-40.31019230769198
2000-12-14,6080.83,-37.16096153846047
2000-12-15,5963.36,-42.588589743591
2000-12-18,5996.55,-38.193589743588745
2000-12-19,6085.51,-39.228525641024135
2000-12-20,5866.22,-31.13628205128134
2000-12-21,5832.21,-41.176282051281305
2000-12-22,5884.83,-46.46666666666715
2000-12-27,5967.76,-53.69942307692145
2000-12-28,6030.22,-62.43871794871757
2000-12-29,6032.1,-77.44980769230824
2001-01-02,5943.23,-99.4077564102563
2001-01-03,5891.16,-115.00935897436011
2001-01-04,6007.74,-112.00980769230773
2001-01-05,5984.69,-100.00653846153818
2001-01-08,5955.41,-94.60487179487154
2001-01-09,5867.53,-99.87217948717898
2001-01-10,5813.64,-94.99653846153797
2001-01-11,5925.38,-79.87621794871757
2001-01-12,5989.95,-71.3262179487183
2001-01-15,6022.29,-59.62128205128283
2001-01-16,5934.16,-59.13897435897434
2001-01-17,6052.53,-51.98955128205034
2001-01-18,6011.47,-39.80519230769187
2001-01-19,5967.3,-21.329038461538403
2001-01-22,5996.82,-12.358653846154994
2001-01-23,5997.5,-4.2346153846156085
2001-01-24,6034.59,4.14217948717851
2001-01-25,6042.28,15.669294871793682
2001-01-26,6018.07,31.877435897436044
2001-01-29,6014.15,42.019551282051
2001-01-30,5975.66,36.619487179485986
2001-01-31,6043.62,30.26583333333201
2001-02-01,5954.22,29.26865384615303
2001-02-02,5898.59,19.100705128204936
2001-02-05,5902.87,14.948782051281341
2001-02-06,5951.24,16.720448717946965
2001-02-07,5859.69,8.506025641026099
2001-02-08,5883.39,-0.704294871795355
2001-02-09,5795.63,-12.459551282051507
2001-02-12,5851.79,-23.222179487179346
2001-02-13,5853.68,-33.00865384615372
2001-02-14,5761.15,-50.00044871794853
2001-02-15,5825.82,-62.95557692307648
2001-02-16,5714.95,-82.25128205128112
2001-02-19,5710.35,-91.81993589743615
2001-02-20,5665.75,-97.5101923076918
2001-02-21,5579.42,-110.8205128205127
2001-02-22,5493.87,-127.44775641025626
2001-02-23,5358.55,-144.0971153846167
2001-02-26,5451.29,-160.25891025640976
2001-02-27,5480.61,-166.65634615384533
2001-02-28,5462.33,-178.5278846153842
2001-03-01,5416.84,-191.1716025641026
2001-03-02,5438.91,-194.81839743589717
2001-03-05,5498.41,-202.1156410256408
2001-03-06,5580.25,-196.65217948717782
2001-03-07,5582.17,-192.19961538461394
2001-03-08,5527.7,-183.86070512820424
2001-03-09,5481.76,-173.82749999999942
2001-03-12,5334.93,-165.39326923076987
2001-03-13,5291.94,-147.44679487179474
2001-03-14,5215.83,-138.78346153846178
2001-03-15,5312.08,-131.7657051282058
2001-03-16,5194.1,-127.60705128205063
2001-03-19,5167.21,-124.23955128205034
2001-03-20,5259.4,-116.41448717948788
2001-03-21,5144.1,-118.64878205128116
2001-03-22,4924.32,-141.12384615384508
2001-03-23,5064.87,-154.96487179487212
2001-03-26,5243.67,-160.50788461538468
2001-03-27,5352.44,-157.51878205128196
2001-03-28,5261.01,-148.11185897435917
2001-03-29,5271.38,-137.97750000000087
2001-03-30,5296.73,-123.65352564102523
2001-04-02,5304.08,-122.22519230769194
2001-04-03,5112.15,-116.01051282051321
2001-04-04,5141.21,-105.1233333333339
2001-04-05,5262.81,-97.16532051281956
2001-04-06,5247.18,-82.04993589743572
2001-04-09,5320.94,-44.46096153846065
2001-04-10,5450.59,-10.478397435897023
2001-04-11,5480.04,13.073333333332812
2001-04-12,5495.35,28.32173076923118
2001-04-17,5438.84,46.558589743590346
2001-04-18,5626.41,70.58096153846145
2001-04-19,5601.57,85.72891025641002
2001-04-20,5554.74,96.50955128204987
2001-04-23,5488.79,117.39775641025608
2001-04-24,5540.58,141.89012820512744
2001-04-25,5528.8,151.18288461538486
2001-04-26,5582.37,163.1476923076916
2001-04-27,5671.53,176.5123717948718
2001-04-30,5739.0,177.6657692307681
2001-05-01,5741.48,168.0232051282046
2001-05-02,5702.66,160.76865384615394
2001-05-03,5585.08,159.82416666666631
2001-05-04,5605.18,148.3342307692301
2001-05-07,5636.69,136.8116666666665
2001-05-08,5638.23,129.65955128205132
2001-05-09,5606.67,127.56211538461503
2001-05-10,5738.1,127.32903846153658
2001-05-11,5691.18,118.59032051282065
2001-05-14,5627.27,103.6373717948727
2001-05-15,5661.8,87.4807692307686
2001-05-16,5656.28,64.85282051281956
2001-05-17,5726.54,48.00782051282022
2001-05-18,5786.0,42.052435897436226
2001-05-21,5806.22,47.935384615385374
2001-05-22,5835.91,54.06442307692396
2001-05-23,5777.81,52.78711538461539
2001-05-24,5810.18,60.048205128205154
2001-05-25,5730.29,65.39910256410349
2001-05-28,5748.74,58.82423076923078
2001-05-29,5709.72,51.87192307692294
2001-05-30,5628.98,48.61442307692414
2001-05-31,5646.42,42.808910256409035
2001-06-01,5632.32,38.89108974358987
2001-06-04,5654.9,33.56070512820588
2001-06-05,5733.41,29.3932051282045
2001-06-06,5702.1,22.231153846153575
2001-06-07,5678.44,10.04019230769245
2001-06-08,5681.08,-1.7129487179481657
2001-06-11,5649.77,-16.795448717947693
2001-06-12,5476.31,-31.79198717948657
2001-06-13,5536.23,-45.57807692307779
2001-06-14,5468.23,-60.37762820512853
2001-06-15,5410.52,-65.98339743589713
2001-06-18,5328.42,-78.53108974358929
2001-06-19,5362.27,-90.84294871794827
2001-06-20,5337.28,-104.82974358974388
2001-06-21,5334.95,-125.67589743589724
2001-06-22,5361.67,-140.01160256410276
2001-06-25,5383.15,-149.12487179487198
2001-06-26,5296.21,-161.58160256410247
2001-06-27,5271.28,-171.40589743589862
2001-06-28,5329.11,-166.41487179487194
2001-06-29,5424.23,-160.90397435897466
2001-07-02,5502.55,-149.2847435897438
2001-07-03,5425.04,-135.62474358974305
2001-07-04,5387.73,-118.29801282051176
2001-07-05,5350.47,-108.56942307692316
2001-07-06,5211.13,-102.33999999999924
2001-07-09,5212.9,-96.37929487179372
2001-07-10,5156.14,-94.32371794871779
2001-07-11,5081.56,-94.38506410256377
2001-07-12,5128.97,-86.27826923077009
2001-07-13,5171.9,-75.07762820512744
2001-07-16,5129.91,-70.478782051282
2001-07-17,5110.03,-75.90288461538421
2001-07-18,5001.66,-99.38794871794926
2001-07-19,5103.93,-109.52019230769201
2001-07-20,5048.18,-121.66025641025499
2001-07-23,5086.15,-131.21115384615314
2001-07-24,5025.96,-135.00891025641067
2001-07-25,4937.2,-141.63506410256286
2001-07-26,5007.42,-141.34147435897376
2001-07-27,5098.04,-130.85621794871804
2001-07-30,5176.29,-119.78288461538523
2001-07-31,5232.97,-108.91756410256403
2001-08-01,5234.05,-97.84846153846047
2001-08-02,5201.06,-87.56185897435807
2001-08-03,5151.02,-68.26557692307688
2001-08-06,5175.82,-52.72051282051325
2001-08-07,5173.81,-29.607500000000073
2001-08-08,5084.56,-16.644615384615463
2001-08-09,4972.04,-5.149871794871615
2001-08-10,4899.9,9.071410256410672
2001-08-13,4959.41,14.752115384615536
2001-08-14,5023.41,15.821025641026608
2001-08-15,4985.14,6.4687820512826875
2001-08-16,4926.78,-13.093974358974265
2001-08-17,4813.46,-36.008141025641635
2001-08-20,4821.05,-54.181410256410345
2001-08-21,4852.71,-68.37903846153768
2001-08-22,4856.82,-85.22352564102584
2001-08-23,4886.83,-104.72198717948686
2001-08-24,4981.01,-108.62346153846192
2001-08-27,4984.6,-105.13141025640925
2001-08-28,4896.47,-98.12185897435847
2001-08-29,4908.35,-97.85339743589702
2001-08-30,4786.06,-111.81948717948762
2001-08-31,4794.84,-119.5016666666661
2001-09-03,4728.35,-121.81865384615321
2001-09-04,4786.05,-109.0935897435902
2001-09-05,4658.42,-100.54801282051267
2001-09-06,4547.1,-99.59435897435924
2001-09-07,4427.05,-105.63891025640987
2001-09-10,4406.73,-117.02070512820501
2001-09-11,4124.46,-147.96294871794817
2001-09-12,4176.5,-176.9465384615387
2001-09-13,4218.66,-200.12685897435858
2001-09-14,3959.17,-240.26865384615394
2001-09-17,4104.86,-266.4568589743585
2001-09-18,4085.62,-291.9512179487183
2001-09-19,3977.0,-314.3171794871796
2001-09-20,3801.29,-350.8478205128213
2001-09-21,3685.68,-384.17487179487216
2001-09-24,3929.51,-401.6426282051284
2001-09-25,3964.98,-407.22269230769234
2001-09-26,4041.73,-406.4478205128203
2001-09-27,4096.94,-379.5149999999999
2001-09-28,4222.3,-350.13948717948733
2001-10-01,4109.14,-325.7326923076921
2001-10-02,4182.06,-276.2916025641025
2001-10-03,4181.23,-242.41820512820595
2001-10-04,4347.85,-199.0080128205127
2001-10-05,4288.08,-153.9316025641033
